EmployeeID,Age,Gender,Education,Role,Department,YearsAtCompany,YearsInRole,MonthlyIncome,PercentSalaryHike,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,OverTime,DistanceFromHome,ManagerStyle,RemoteWorkOption,StockOptions,TotalWorkingYears,BusinessTravel,Attrition
1001,50,Non-binary,Bachelor's,Mid SE,ML/AI,8,5,194776,26,3,1,3,4,3,2,6,No,15,Supportive,On-site,2,5,Non-Travel,No
1002,36,Male,Bachelor's,Junior SE,QA,13,8,194102,25,1,1,4,1,4,2,6,No,46,Supportive,On-site,1,5,Travel_Frequently,No
1003,29,Female,Bachelor's,Mid SE,ML/AI,18,2,171883,6,4,4,3,3,3,6,1,Yes,4,Supportive,Hybrid,3,8,Travel_Rarely,No
1004,42,Female,Master's,Mid SE,QA,9,8,114445,13,1,4,3,1,3,2,2,Yes,18,Neutral,On-site,3,27,Non-Travel,No
1005,40,Female,Bootcamp,Junior SE,Mobile,3,8,118551,21,3,4,3,4,4,5,6,No,1,Neutral,Hybrid,2,18,Non-Travel,No
1006,44,Female,Bachelor's,Junior SE,DevOps,5,0,48420,22,2,3,1,1,4,5,5,No,12,Demanding,On-site,0,26,Non-Travel,Yes
1007,32,Male,Master's,Principal SE,QA,13,2,104875,17,2,1,2,1,3,6,6,No,41,Supportive,Hybrid,1,16,Travel_Rarely,Yes
1008,32,Male,Bachelor's,Mid SE,Frontend,3,5,223725,5,4,2,3,2,4,4,8,No,42,Neutral,On-site,0,22,Non-Travel,No
1009,45,Male,PhD,Mid SE,DevOps,14,7,61740,16,4,3,1,2,4,2,7,Yes,17,Supportive,On-site,0,23,Travel_Rarely,Yes
1010,57,Female,PhD,Junior SE,Mobile,15,3,110263,24,4,4,4,1,3,2,5,No,19,Toxic,On-site,0,3,Travel_Rarely,Yes
1011,45,Male,PhD,Junior SE,ML/AI,6,4,150789,24,3,1,2,1,3,0,3,Yes,36,Neutral,Full Remote,1,3,Travel_Rarely,No
1012,24,Male,Bootcamp,Tech Lead,QA,16,8,240631,25,3,4,4,3,3,2,8,No,48,Supportive,Hybrid,2,12,Travel_Rarely,No
1013,43,Female,Bachelor's,Junior SE,Frontend,18,5,64465,9,4,2,3,4,3,5,6,No,7,Supportive,Hybrid,1,23,Non-Travel,No
1014,23,Female,PhD,Mid SE,Backend,18,6,227504,12,2,2,2,2,4,0,4,No,9,Supportive,Full Remote,1,11,Travel_Frequently,No
